Product_Name,Price,Rating,Review,Link
"APPLE iPhone 12 (Purple, 128 GB)",84900,3168,272,https://www.flipkart.com/apple-iphone-12-purple-128-gb/p/itmebc78f1cb26d3?pid=MOBG2EPZK5ZD9KYS&lid=LSTMOBG2EPZK5ZD9KYSDHJ76S&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_32&otracker=browse&fm=organic&iid=56812688-40ec-476f-9c7a-a04cccfbdbe6.MOBG2EPZK5ZD9KYS.SEARCH&ppt=None&ppn=None&ssid=np4boltdkw0000001621088608395
"APPLE iPhone 12 (Red, 128 GB)",82900,3168,272,https://www.flipkart.com/apple-iphone-12-red-128-gb/p/itma7bd86885ed98?pid=MOBFWBYZUHPFWQRD&lid=LSTMOBFWBYZUHPFWQRD7UBXC2&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_33&otracker=browse&fm=organic&iid=56812688-40ec-476f-9c7a-a04cccfbdbe6.MOBFWBYZUHPFWQRD.SEARCH&ppt=None&ppn=None&ssid=np4boltdkw0000001621088608395
"APPLE iPhone 12 Mini (Black, 64 GB)",67900,1513,133,https://www.flipkart.com/apple-iphone-12-mini-black-64-gb/p/itm38b727191eb08?pid=MOBFWBYZXSEGBS6F&lid=LSTMOBFWBYZXSEGBS6F4NXXZW&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_34&otracker=browse&fm=organic&iid=56812688-40ec-476f-9c7a-a04cccfbdbe6.MOBFWBYZXSEGBS6F.SEARCH&ppt=None&ppn=None&ssid=np4boltdkw0000001621088608395
"APPLE iPhone 12 Mini (White, 64 GB)",67900,1513,133,https://www.flipkart.com/apple-iphone-12-mini-white-64-gb/p/itmf3b16d1640898?pid=MOBFWBYZBH4CEC4C&lid=LSTMOBFWBYZBH4CEC4CXRBIBP&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_35&otracker=browse&fm=organic&iid=56812688-40ec-476f-9c7a-a04cccfbdbe6.MOBFWBYZBH4CEC4C.SEARCH&ppt=None&ppn=None&ssid=np4boltdkw0000001621088608395
"APPLE iPhone 12 Pro (Pacific Blue, 128 GB)",115900,671,47,https://www.flipkart.com/apple-iphone-12-pro-pacific-blue-128-gb/p/itm97c833296c221?pid=MOBFWBYZXYSCEEEH&lid=LSTMOBFWBYZXYSCEEEHWV51IN&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_36&otracker=browse&fm=organic&iid=56812688-40ec-476f-9c7a-a04cccfbdbe6.MOBFWBYZXYSCEEEH.SEARCH&ppt=None&ppn=None&ssid=np4boltdkw0000001621088608395
"APPLE iPhone 12 Mini (Blue, 128 GB)",72900,1513,133,https://www.flipkart.com/apple-iphone-12-mini-blue-128-gb/p/itm9b6cdec9700ee?pid=MOBFWBYZHU58PHCZ&lid=LSTMOBFWBYZHU58PHCZOK9EEO&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_37&otracker=browse&fm=organic&iid=56812688-40ec-476f-9c7a-a04cccfbdbe6.MOBFWBYZHU58PHCZ.SEARCH&ppt=None&ppn=None&ssid=np4boltdkw0000001621088608395
"APPLE iPhone 12 Mini (White, 128 GB)",72900,1513,133,https://www.flipkart.com/apple-iphone-12-mini-white-128-gb/p/itm9098fa76548ba?pid=MOBFWBYZAGXJRDGB&lid=LSTMOBFWBYZAGXJRDGBKT8QFY&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_38&otracker=browse&fm=organic&iid=56812688-40ec-476f-9c7a-a04cccfbdbe6.MOBFWBYZAGXJRDGB.SEARCH&ppt=None&ppn=None&ssid=np4boltdkw0000001621088608395
"APPLE iPhone 12 Pro Max (Pacific Blue, 128 GB)",125900,780,66,https://www.flipkart.com/apple-iphone-12-pro-max-pacific-blue-128-gb/p/itmd89812b558a03?pid=MOBFWBYZZABKHZQA&lid=LSTMOBFWBYZZABKHZQACQ9MLL&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_39&otracker=browse&fm=organic&iid=56812688-40ec-476f-9c7a-a04cccfbdbe6.MOBFWBYZZABKHZQA.SEARCH&ppt=None&ppn=None&ssid=np4boltdkw0000001621088608395
"APPLE iPhone 12 Mini (Red, 64 GB)",67900,1513,133,https://www.flipkart.com/apple-iphone-12-mini-red-64-gb/p/itm255dd64643767?pid=MOBFWBYZNVWGWN2U&lid=LSTMOBFWBYZNVWGWN2UIVYMOW&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_40&otracker=browse&fm=organic&iid=56812688-40ec-476f-9c7a-a04cccfbdbe6.MOBFWBYZNVWGWN2U.SEARCH&ppt=None&ppn=None&ssid=np4boltdkw0000001621088608395
"APPLE iPhone 12 Pro Max (Graphite, 128 GB)",125900,780,66,https://www.flipkart.com/apple-iphone-12-pro-max-graphite-128-gb/p/itm973c298184f51?pid=MOBFWBYZFDGQSDWS&lid=LSTMOBFWBYZFDGQSDWSWMBEA6&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_41&otracker=browse&fm=organic&iid=56812688-40ec-476f-9c7a-a04cccfbdbe6.MOBFWBYZFDGQSDWS.SEARCH&ppt=None&ppn=None&ssid=np4boltdkw0000001621088608395
"APPLE iPhone 12 (Green, 64 GB)",77900,3168,272,https://www.flipkart.com/apple-iphone-12-green-64-gb/p/itmc8a19a9686173?pid=MOBFWBYZKK3EJPFW&lid=LSTMOBFWBYZKK3EJPFWBJCVXA&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_42&otracker=browse&fm=organic&iid=56812688-40ec-476f-9c7a-a04cccfbdbe6.MOBFWBYZKK3EJPFW.SEARCH&ppt=None&ppn=None&ssid=np4boltdkw0000001621088608395
"APPLE iPhone 12 (Purple, 64 GB)",79900,3168,272,https://www.flipkart.com/apple-iphone-12-purple-64-gb/p/itmfca1e77621c65?pid=MOBG2EPZJUZEYZGK&lid=LSTMOBG2EPZJUZEYZGKD7J2A7&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_43&otracker=browse&fm=organic&iid=56812688-40ec-476f-9c7a-a04cccfbdbe6.MOBG2EPZJUZEYZGK.SEARCH&ppt=None&ppn=None&ssid=np4boltdkw0000001621088608395
"APPLE iPhone 12 Pro (Graphite, 256 GB)",125900,671,47,https://www.flipkart.com/apple-iphone-12-pro-graphite-256-gb/p/itm4fa4da575698c?pid=MOBFWBYZBA36UB7G&lid=LSTMOBFWBYZBA36UB7GD8FAYI&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_44&otracker=browse&fm=organic&iid=56812688-40ec-476f-9c7a-a04cccfbdbe6.MOBFWBYZBA36UB7G.SEARCH&ppt=None&ppn=None&ssid=np4boltdkw0000001621088608395
"Apple iPhone SE (White, 256 GB) (Includes EarPods, Power Adapter)",47999,101266,8583,https://www.flipkart.com/apple-iphone-se-white-256-gb-includes-earpods-power-adapter/p/itm4d73793c30c4c?pid=MOBFRFXHPZCHAPEH&lid=LSTMOBFRFXHPZCHAPEH0XRVUQ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_45&otracker=browse&fm=organic&iid=56812688-40ec-476f-9c7a-a04cccfbdbe6.MOBFRFXHPZCHAPEH.SEARCH&ppt=None&ppn=None&ssid=np4boltdkw0000001621088608395
"APPLE iPhone 12 (Red, 256 GB)",92900,3168,272,https://www.flipkart.com/apple-iphone-12-red-256-gb/p/itm16f42310fe29a?pid=MOBFWBYZEBH6SAFP&lid=LSTMOBFWBYZEBH6SAFPS13XFR&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_46&otracker=browse&fm=organic&iid=56812688-40ec-476f-9c7a-a04cccfbdbe6.MOBFWBYZEBH6SAFP.SEARCH&ppt=None&ppn=None&ssid=np4boltdkw0000001621088608395
"APPLE iPhone 12 Pro (Silver, 512 GB)",145900,671,47,https://www.flipkart.com/apple-iphone-12-pro-silver-512-gb/p/itm0ccf9fc219a71?pid=MOBFWBYZ5UY6ZBVA&lid=LSTMOBFWBYZ5UY6ZBVAWNVLCR&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_47&otracker=browse&fm=organic&iid=56812688-40ec-476f-9c7a-a04cccfbdbe6.MOBFWBYZ5UY6ZBVA.SEARCH&ppt=None&ppn=None&ssid=np4boltdkw0000001621088608395
"APPLE iPhone 12 Pro (Graphite, 512 GB)",145900,671,47,https://www.flipkart.com/apple-iphone-12-pro-graphite-512-gb/p/itmdf0ffb4f2150f?pid=MOBFWBYZ4ZZ5VUQD&lid=LSTMOBFWBYZ4ZZ5VUQDSMPMJK&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_48&otracker=browse&fm=organic&iid=56812688-40ec-476f-9c7a-a04cccfbdbe6.MOBFWBYZ4ZZ5VUQD.SEARCH&ppt=None&ppn=None&ssid=np4boltdkw0000001621088608395
